"","Regions","co2_offset","percent"
"1","California",32.9021154505939,5
"2","Carolinas",11.0018009173961,5
"3","Central",0.59048295742752,5
"4","Florida",8.37210028487429,5
"5","Mid-Atlantic",30.611737559313,5
"6","Midwest",61.4331185058161,5
"7","New England",0.000741082250596462,5
"8","Northwest",22.5737612833744,5
"9","Southeast",12.7515466712008,5
"10","Southwest",31.1751153090104,5
"11","Tennessee",2.60959812368214,5
"12","Texas",6.73720402874472,5
"13","California",65.6843267300428,10
"14","Carolinas",20.9300534338087,10
"15","Central",1.1591728333389,10
"16","Florida",15.9465855865878,10
"17","Mid-Atlantic",58.3987340196198,10
"18","Midwest",121.646432462322,10
"19","New England",0.0014085322208533,10
"20","Northwest",43.6282423818806,10
"21","Southeast",24.1152855145695,10
"22","Southwest",63.946236117076,10
"23","Tennessee",4.94581333687172,10
"24","Texas",12.8058997424144,10
"25","California",97.4052812268646,15
"26","Carolinas",29.7656034910631,15
"27","Central",1.70240959850034,15
"28","Florida",22.613058617929,15
"29","Mid-Atlantic",83.0673248470582,15
"30","Midwest",179.057635293463,15
"31","New England",0.00201328066282915,15
"32","Northwest",63.3445936324122,15
"33","Southeast",34.1826657372685,15
"34","Southwest",97.182727912462,15
"35","Tennessee",6.99896971596883,15
"36","Texas",18.2596669684292,15
"37","California",127.179399506945,20
"38","Carolinas",37.5369260889721,20
"39","Central",2.21552765988058,20
"40","Florida",28.3580612215814,20
"41","Mid-Atlantic",104.583795952823,20
"42","Midwest",232.458262439576,20
"43","New England",0.00256576087323228,20
"44","Northwest",81.8058192074489,20
"45","Southeast",43.0789390651794,20
"46","Southwest",129.703819709267,20
"47","Tennessee",8.77838813692435,20
"48","Texas",23.1365198720602,20
